iter	Passed	Remaining
0	2	200
1	3	195
2	5	193
3	7	179
4	9	178
5	11	178
6	12	171
7	14	168
8	16	163
9	17	159
10	19	159
11	21	158
12	23	158
13	25	158
14	27	156
15	29	154
16	32	156
17	34	154
18	35	152
19	37	150
20	39	148
21	41	145
22	43	144
23	45	142
24	46	140
25	48	138
26	50	137
27	52	134
28	54	132
29	55	130
30	57	128
31	59	127
32	61	125
33	63	123
34	65	121
35	67	120
36	69	119
37	72	117
38	74	116
39	76	114
40	78	112
41	79	109
42	81	107
43	82	105
44	84	103
45	86	101
46	88	99
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	102	87
54	103	84
55	105	82
56	107	80
57	108	78
58	110	76
59	112	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	66
65	124	64
66	126	62
67	128	60
68	129	58
69	131	56
70	133	54
71	135	52
72	138	51
73	139	49
74	141	47
75	143	45
76	145	43
77	147	41
78	148	39
79	150	37
80	152	35
81	154	33
82	156	32
83	158	30
84	160	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	174	15
92	177	13
93	179	11
94	181	9
95	183	7
96	185	5
97	187	3
98	189	1
99	191	0
