iter	Passed	Remaining
0	147	147350
1	152	76320
2	156	52005
3	159	39626
4	161	32122
5	165	27348
6	167	23737
7	170	21106
8	173	19063
9	177	17534
10	179	16099
11	181	14961
12	184	14032
13	187	13202
14	189	12470
15	192	11818
16	194	11236
17	196	10717
18	198	10267
19	200	9847
20	202	9454
21	204	9110
22	206	8790
23	208	8490
24	210	8215
25	212	7960
26	214	7716
27	215	7492
28	218	7301
29	219	7108
30	221	6924
31	223	6767
32	225	6605
33	227	6467
34	229	6331
35	231	6204
36	233	6072
37	235	5951
38	236	5832
39	239	5742
40	241	5641
41	243	5549
42	245	5455
43	247	5369
44	248	5281
45	252	5232
46	254	5152
47	256	5081
48	258	5013
49	260	4940
50	262	4878
51	264	4821
52	266	4754
53	268	4695
54	269	4634
55	271	4574
56	272	4516
57	274	4461
58	276	4408
59	278	4356
60	279	4304
61	281	4257
62	283	4211
63	284	4167
64	286	4121
65	287	4075
66	289	4032
67	291	3997
68	293	3960
69	295	3921
70	296	3880
71	298	3844
72	300	3810
73	301	3773
74	302	3736
75	304	3705
76	306	3672
77	307	3640
78	309	3612
79	311	3583
80	312	3550
81	314	3522
82	315	3487
83	317	3463
84	319	3437
85	320	3409
86	322	3386
87	324	3361
88	326	3337
89	327	3310
90	329	3287
91	330	3262
92	332	3238
93	333	3214
94	335	3196
95	337	3174
96	338	3153
97	340	3133
98	342	3115
99	343	3095
100	345	3076
101	347	3060
102	349	3043
103	351	3025
104	352	3008
105	355	2995
106	356	2977
107	358	2962
108	362	2966
109	364	2951
110	366	2935
111	368	2918
112	369	2901
113	371	2886
114	373	2871
115	374	2855
116	375	2836
117	377	2821
118	379	2806
119	380	2791
120	382	2776
121	383	2757
122	384	2743
123	386	2731
124	387	2715
125	389	2703
126	391	2690
127	393	2679
128	394	2665
129	396	2651
130	397	2638
131	399	2625
132	401	2616
133	402	2602
134	404	2594
135	406	2582
136	408	2571
137	409	2559
138	411	2548
139	412	2536
140	414	2525
141	416	2514
142	417	2504
143	419	2493
144	420	2481
145	422	2471
146	423	2460
147	425	2448
148	426	2436
149	428	2427
150	430	2422
151	433	2417
152	435	2409
153	436	2400
154	438	2390
155	440	2382
156	442	2373
157	443	2364
158	445	2355
159	447	2349
160	448	2339
161	450	2329
162	451	2319
163	453	2312
164	455	2303
165	456	2294
166	457	2284
167	459	2276
168	461	2269
169	463	2260
170	464	2252
171	466	2246
172	468	2237
173	469	2230
174	471	2221
175	472	2213
176	474	2205
177	476	2198
178	477	2190
179	478	2181
180	480	2174
181	482	2166
182	483	2158
183	485	2151
184	486	2144
185	488	2136
186	490	2131
187	491	2124
188	493	2118
189	495	2111
190	496	2104
191	498	2097
192	499	2090
193	501	2083
194	503	2078
195	505	2072
196	507	2067
197	508	2060
198	510	2055
199	512	2048
200	513	2041
201	515	2035
202	517	2030
203	518	2023
204	520	2017
205	522	2013
206	524	2007
207	526	2003
208	527	1998
209	529	1992
210	532	1989
211	533	1983
212	538	1990
213	541	1987
214	543	1984
215	545	1980
216	547	1975
217	549	1970
218	550	1963
219	552	1957
220	554	1953
221	556	1948
222	557	1943
223	560	1941
224	562	1936
225	564	1931
226	565	1925
227	567	1920
228	568	1914
229	572	1918
230	574	1913
231	576	1909
232	579	1906
233	581	1902
234	583	1898
235	584	1892
236	585	1886
237	587	1882
238	589	1878
239	591	1873
240	593	1869
241	595	1865
242	597	1861
243	599	1856
244	601	1853
245	603	1848
246	604	1842
247	605	1837
248	607	1833
249	609	1828
250	611	1824
251	613	1820
252	614	1815
253	616	1810
254	618	1806
255	620	1802
256	621	1797
257	623	1792
258	626	1791
259	628	1788
260	630	1784
261	632	1780
262	633	1775
263	635	1771
264	637	1766
265	638	1763
266	640	1758
267	642	1753
268	645	1754
269	647	1750
270	649	1747
271	651	1742
272	652	1738
273	654	1734
274	656	1730
275	657	1725
276	659	1721
277	661	1718
278	663	1714
279	664	1709
280	666	1704
281	667	1700
282	669	1695
283	670	1690
284	672	1686
285	674	1683
286	676	1680
287	677	1675
288	679	1671
289	681	1668
290	683	1665
291	685	1660
292	686	1657
293	688	1653
294	690	1649
295	691	1645
296	693	1641
297	695	1638
298	697	1634
299	698	1630
300	700	1627
301	702	1624
302	704	1620
303	705	1616
304	707	1612
305	709	1608
306	712	1609
307	714	1605
308	716	1601
309	718	1598
310	720	1595
311	722	1593
312	724	1590
313	726	1587
314	728	1583
315	730	1580
316	731	1576
317	733	1573
318	735	1569
319	736	1565
320	738	1563
321	740	1559
322	742	1556
323	744	1553
324	746	1550
325	748	1546
326	749	1542
327	751	1539
328	753	1535
329	754	1532
330	756	1528
331	757	1524
332	759	1521
333	761	1517
334	762	1514
335	764	1509
336	766	1507
337	768	1504
338	770	1501
339	772	1498
340	773	1495
341	775	1491
342	776	1488
343	778	1485
344	780	1482
345	782	1479
346	784	1476
347	786	1472
348	787	1469
349	789	1465
350	790	1462
351	792	1458
352	793	1454
353	794	1450
354	796	1447
355	798	1444
356	799	1440
357	801	1436
358	802	1432
359	803	1429
360	805	1425
361	806	1421
362	808	1418
363	810	1415
364	811	1412
365	813	1408
366	814	1405
367	818	1406
368	820	1402
369	821	1399
370	823	1396
371	824	1392
372	826	1388
373	827	1385
374	829	1382
375	830	1378
376	831	1374
377	833	1371
378	835	1368
379	836	1364
380	837	1361
381	839	1357
382	840	1354
383	842	1351
384	843	1348
385	845	1345
386	847	1342
387	849	1339
388	850	1335
389	852	1332
390	854	1330
391	855	1327
392	857	1324
393	858	1320
394	860	1317
395	862	1315
396	863	1311
397	865	1309
398	866	1305
399	868	1302
400	869	1299
401	871	1296
402	873	1293
403	874	1290
404	875	1286
405	877	1283
406	878	1280
407	879	1276
408	881	1273
409	882	1269
410	884	1266
411	885	1263
412	887	1260
413	888	1257
414	890	1254
415	891	1251
416	893	1248
417	894	1245
418	895	1242
419	897	1239
420	899	1236
421	900	1233
422	901	1229
423	903	1227
424	905	1224
425	907	1222
426	908	1219
427	910	1216
428	911	1213
429	913	1210
430	914	1207
431	916	1205
432	918	1202
433	919	1199
434	921	1196
435	922	1193
436	924	1190
437	925	1187
438	926	1184
439	929	1182
440	930	1179
441	932	1176
442	933	1174
443	935	1171
444	937	1168
445	938	1165
446	939	1162
447	941	1159
448	942	1157
449	944	1154
450	945	1151
451	947	1148
452	948	1145
453	950	1142
454	951	1139
455	953	1137
456	955	1135
457	956	1132
458	958	1130
459	960	1127
460	961	1124
461	963	1121
462	965	1119
463	968	1118
464	969	1115
465	971	1113
466	973	1110
467	974	1107
468	976	1105
469	977	1102
470	979	1100
471	981	1097
472	982	1095
473	984	1092
474	986	1090
475	987	1087
476	989	1084
477	990	1081
478	992	1079
479	994	1076
480	995	1074
481	998	1072
482	1001	1071
483	1004	1070
484	1006	1068
485	1007	1066
486	1009	1063
487	1011	1061
488	1012	1058
489	1014	1055
490	1016	1053
491	1017	1051
492	1019	1048
493	1021	1045
494	1023	1043
495	1024	1041
496	1025	1038
497	1027	1035
498	1028	1033
499	1030	1030
500	1031	1027
501	1033	1025
502	1036	1023
503	1037	1021
504	1039	1018
505	1041	1016
506	1043	1015
507	1045	1012
508	1047	1010
509	1049	1007
510	1050	1005
511	1052	1003
512	1054	1001
513	1056	998
514	1057	996
515	1060	994
516	1062	992
517	1064	990
518	1066	988
519	1067	985
520	1069	983
521	1071	981
522	1073	979
523	1075	976
524	1077	974
525	1079	972
526	1080	969
527	1082	967
528	1084	965
529	1086	963
530	1087	960
531	1089	958
532	1090	955
533	1092	953
534	1094	951
535	1096	948
536	1097	946
537	1099	943
538	1101	941
539	1103	939
540	1104	937
541	1106	935
542	1109	933
543	1111	931
544	1113	929
545	1114	926
546	1116	924
547	1117	922
548	1119	919
549	1120	917
550	1122	914
